"title","author","isbn","publisher","edition","publication_year","department_code","subject","category","language","book_type","total_copies","available_copies","shelf_no","description","barcode"
"Introduction to Algorithms","Thomas H. Cormen","9780262033848","MIT Press","3rd","2009","CSE","Algorithms","Academic Textbook","English","Textbook","12","8","CSE-A01","Fundamental algorithms textbook for computer science students.","B001"
"Python Crash Course","Eric Matthes","9781593279288","No Starch Press","2nd","2019","IT","Python Programming","Programming & Technology","English","Reference","15","10","IT-B02","Hands-on introduction to Python programming for beginners.","B002"
"Clean Code","Robert C. Martin","9780132350884","Prentice Hall","1st","2008","CSE","Software Engineering","Programming & Technology","English","Textbook","10","6","CSE-A03","Best practices for writing maintainable code.","B003"
"The Pragmatic Programmer","Andrew Hunt","9780135957059","Addison-Wesley","2nd","2019","IT","Software Development","Programming & Technology","English","Reference","8","5","IT-B04","Practical advice for software developers.","B004"
"Design Patterns","Erich Gamma","9780201633610","Addison-Wesley","1st","1994","CSE","Design Patterns","Programming & Technology","English","Textbook","11","7","CSE-A05","Classic book on software design patterns.","B005"
"Indian Polity","M. Laxmikanth","9789352603633","McGraw Hill","6th","2019","LAW","Constitutional Law","Law & Constitution","English","Textbook","9","4","LAW-C01","Comprehensive guide to Indian political system.","B006"
"Constitution of India","D.D. Basu","9789391164193","LexisNexis","24th","2022","LAW","Constitution","Law & Constitution","English","Reference","7","3","LAW-C02","Detailed commentary on the Indian Constitution.","B007"
"India's Struggle for Independence","Bipan Chandra","9780140107814","Penguin","1st","1989","HIS","Indian History","History","English","Textbook","14","9","HIS-D01","Account of India's freedom movement.","B008"
"A Brief History of Time","Stephen Hawking","9780553380163","Bantam","1st","1998","PHY","Physics","Academic Textbook","English","Reference","6","2","PHY-E01","Exploration of cosmology and time.","B009"
"Certificate Physical and Human Geography","Goh Cheng Leong","9780195613671","Oxford University Press","1st","1984","GEO","Geography","Geography","English","Textbook","13","8","GEO-F01","Introduction to physical and human geography.","B010"
"The Alchemist","Paulo Coelho","9780061122415","HarperOne","1st","2002","ENG","Fiction","Novel – Fiction","English","Novel","20","15","ENG-G01","Inspirational tale of following dreams.","B011"
"To Kill a Mockingbird","Harper Lee","9780061120084","Harper Perennial","1st","1960","ENG","Literature","Novel – Fiction","English","Novel","18","12","ENG-G02","Classic novel on racism and justice.","B012"
"Quantitative Aptitude","R.S. Aggarwal","9788121924986","S. Chand","10th","2018","GEN","Aptitude","Competitive Exams","English","Reference","16","11","GEN-H01","Preparation for quantitative aptitude tests.","B013"
"Lucent's General Knowledge","Lucent Team","9789384761464","Lucent Publications","8th","2019","GEN","General Knowledge","General Knowledge","English","Reference","12","7","GEN-H02","Comprehensive GK for competitive exams.","B014"
"Principles of Economics","N. Gregory Mankiw","9781337516872","Cengage Learning","9th","2017","ECO","Economics","Economics","English","Textbook","10","5","ECO-I01","Introductory economics textbook.","B015"
"The Intelligent Investor","Benjamin Graham","9780060555665","HarperBusiness","Revised","2006","MBA","Investing","Academic Textbook","English","Reference","9","4","MBA-J01","Value investing principles.","B016"
"Pedagogy of the Oppressed","Paulo Freire","9780826412768","Continuum","30th","2000","EDU","Education","Economics","English","Textbook","8","3","EDU-K01","Critical pedagogy theory.","B017"
"Organic Chemistry","Paula Yurkanis Bruice","9780134042282","Pearson","8th","2016","CHE","Chemistry","Academic Textbook","English","Textbook","11","6","CHE-L01","Organic chemistry fundamentals.","B018"
"Molecular Biology of the Cell","Bruce Alberts","9780815344322","Garland Science","6th","2014","BIO","Biotechnology","Academic Textbook","English","Textbook","7","2","BIO-M01","Cell biology textbook.","B019"
"Thermodynamics","Yunus A. Cengel","9780073398174","McGraw-Hill","8th","2015","ME","Thermodynamics","Engineering Reference","English","Textbook","14","9","ME-N01","Engineering thermodynamics.","B020"
"Strength of Materials","R.K. Bansal","9788131808144","Laxmi Publications","6th","2012","CE","Structural Engineering","Engineering Reference","English","Textbook","12","7","CE-O01","Mechanics of materials.","B021"
"Circuit Theory","A. Chakrabarti","9788121903325","Dhanpat Rai","9th","2018","EEE","Electrical Circuits","Engineering Reference","English","Textbook","10","5","EEE-P01","Basic circuit analysis.","B022"
"Digital Signal Processing","John G. Proakis","9780131873742","Pearson","4th","2006","ECE","Signal Processing","Engineering Reference","English","Textbook","9","4","ECE-Q01","DSP fundamentals.","B023"
"The God of Small Things","Arundhati Roy","9780060977496","Harper Perennial","1st","1997","ENG","Fiction","Novel – Fiction","English","Novel","17","13","ENG-G03","Man Booker Prize winner on family and society.","B024"
"1984","George Orwell","9780451524935","Signet Classics","1st","1949","ENG","Dystopian","Novel – Fiction","English","Novel","19","14","ENG-G04","Classic dystopian novel.","B025"
"Pride and Prejudice","Jane Austen","9780141439518","Penguin Classics","1st","1813","ENG","Romance","Novel – Fiction","English","Novel","16","11","ENG-G05","Timeless romance novel.","B026"
"Sapiens: A Brief History of Humankind","Yuval Noah Harari","9780062316097","Harper","1st","2015","HIS","Human History","Novel – Non-Fiction","English","Non-Fiction","11","6","HIS-D02","Overview of human history.","B027"
"Becoming","Michelle Obama","9781524763138","Crown","1st","2018","ENG","Biography","Novel – Non-Fiction","English","Non-Fiction","13","8","ENG-G06","Memoir of former First Lady.","B028"
"The Diary of a Young Girl","Anne Frank","9780553296983","Bantam","1st","1947","HIS","Holocaust","Novel – Non-Fiction","English","Non-Fiction","15","10","HIS-D03","Personal account of WWII.","B029"
"Fast Track Objective Arithmetic","Rajesh Verma","9789355012003","Arihant Publications","11th","2022","GEN","Arithmetic","Competitive Exams","English","Reference","14","9","GEN-H03","Objective arithmetic for exams.","B030"
"Word Power Made Easy","Norman Lewis","9780143424683","Penguin","Revised","2014","GEN","Vocabulary","General Knowledge","English","Reference","12","7","GEN-H04","Build vocabulary effectively.","B031"
"Microeconomics","Pindyck and Rubinfeld","9789332518191","Pearson","8th","2017","ECO","Microeconomics","Economics","English","Textbook","10","5","ECO-I02","Principles of microeconomics.","B032"
"Macroeconomics","N. Gregory Mankiw","9781337613064","Cengage Learning","10th","2019","ECO","Macroeconomics","Economics","English","Textbook","9","4","ECO-I03","Macroeconomic theory.","B033"
"Marketing Management","Philip Kotler","9780133856460","Pearson","15th","2015","MBA","Marketing","Academic Textbook","English","Textbook","11","6","MBA-J02","Marketing principles and strategies.","B034"
"Human Resource Management","Gary Dessler","9780135172784","Pearson","15th","2020","MBA","HR","Academic Textbook","English","Textbook","8","3","MBA-J03","HR management fundamentals.","B035"
"Teaching Aptitude","Unknown","9789386841900","RPH Editorial","1st","2018","EDU","Teaching","Competitive Exams","English","Reference","7","2","EDU-K02","Preparation for teaching aptitude tests.","B036"
"Physical Chemistry","P.W. Atkins","9780198738165","Oxford University Press","10th","2014","CHE","Physical Chemistry","Academic Textbook","English","Textbook","13","8","CHE-L02","Physical chemistry concepts.","B037"
"Biochemistry","Jeremy M. Berg","9781319114671","W.H. Freeman","8th","2019","BIO","Biochemistry","Academic Textbook","English","Textbook","10","5","BIO-M02","Biochemical processes.","B038"
"Fluid Mechanics","Frank M. White","9780073398273","McGraw-Hill","8th","2016","ME","Fluid Mechanics","Engineering Reference","English","Textbook","12","7","ME-N02","Fluid dynamics for engineers.","B039"
"Structural Analysis","R.C. Hibbeler","9780133942842","Pearson","10th","2017","CE","Structural Analysis","Engineering Reference","English","Textbook","11","6","CE-O02","Analysis of structures.","B040"
"Electrical Machines","P.S. Bimbhra","9788174091737","Khanna Publishers","1st","2011","EEE","Electrical Machines","Engineering Reference","English","Textbook","9","4","EEE-P02","Machines and drives.","B041"
"Analog Electronics","Millman and Halkias","9780074620248","McGraw-Hill","2nd","2008","ECE","Analog Circuits","Engineering Reference","English","Textbook","14","9","ECE-Q02","Analog electronics basics.","B042"
"The Great Gatsby","F. Scott Fitzgerald","9780743273565","Scribner","1st","1925","ENG","Fiction","Novel – Fiction","English","Novel","18","12","ENG-G07","American classic on the Jazz Age.","B043"
"Animal Farm","George Orwell","9780451526342","Signet Classics","1st","1945","ENG","Allegory","Novel – Fiction","English","Novel","17","11","ENG-G08","Satirical novella on totalitarianism.","B044"
"Brave New World","Aldous Huxley","9780060850524","Harper Perennial","1st","1932","ENG","Dystopian","Novel – Fiction","English","Novel","16","10","ENG-G09","Dystopian future society.","B045"
"Guns, Germs, and Steel","Jared Diamond","9780393317558","W.W. Norton","1st","1997","GEO","Human Geography","Novel – Non-Fiction","English","Non-Fiction","12","7","GEO-F02","Why societies develop differently.","B046"
"Educated","Tara Westover","9780399590528","Random House","1st","2018","EDU","Memoir","Novel – Non-Fiction","English","Non-Fiction","13","8","EDU-K03","Memoir of self-education.","B047"
"The Immortal Life of Henrietta Lacks","Rebecca Skloot","9781400052189","Crown","1st","2010","BIO","Medical Ethics","Novel – Non-Fiction","English","Non-Fiction","11","6","BIO-M03","Story of HeLa cells.","B048"
"Verbal Ability","Unknown","9789355012003","Arihant Publications","1st","2022","GEN","Verbal","Competitive Exams","English","Reference","15","10","GEN-H05","Verbal ability preparation.","B049"
"Indian Economy","Ramesh Singh","9789355324474","McGraw Hill","15th","2023","ECO","Indian Economy","Economics","English","Textbook","10","5","ECO-I04","Overview of Indian economy.","B050"
"Financial Accounting","T.S. Grewal","9789386841900","Sultan Chand","12th","2019","MBA","Accounting","Academic Textbook","English","Textbook","9","4","MBA-J04","Financial accounting principles.","B051"
"Inorganic Chemistry","Catherine E. Housecroft","9780199641826","Oxford University Press","5th","2018","CHE","Inorganic Chemistry","Academic Textbook","English","Textbook","8","3","CHE-L03","Inorganic chemistry topics.","B052"
"Genetics","Bruce R. Korf","9780073525344","McGraw-Hill","1st","2018","BIO","Genetics","Academic Textbook","English","Textbook","12","7","BIO-M04","Human genetics.","B053"
"Heat Transfer","J.P. Holman","9780073529366","McGraw-Hill","12th","2016","ME","Heat Transfer","Engineering Reference","English","Textbook","11","6","ME-N03","Heat transfer mechanisms.","B054"
"Geotechnical Engineering","Braja M. Das","9781337705028","Cengage Learning","3rd","2019","CE","Geotechnical","Engineering Reference","English","Textbook","10","5","CE-O03","Soil mechanics.","B055"
"Power Systems","John J. Grainger","9780070612938","McGraw-Hill","1st","2007","EEE","Power Systems","Engineering Reference","English","Textbook","14","9","EEE-P03","Power system analysis.","B056"
"Microprocessors","Gaonkar","9788120319572","Pearson","5th","2011","ECE","Microprocessors","Engineering Reference","English","Textbook","13","8","ECE-Q03","Microprocessor architecture.","B057"
"The Catcher in the Rye","J.D. Salinger","9780316769488","Little, Brown and Company","1st","1951","ENG","Fiction","Novel – Fiction","English","Novel","19","14","ENG-G10","Coming-of-age story.","B058"
"Lord of the Flies","William Golding","9780399501487","Perigee Books","1st","1954","ENG","Allegory","Novel – Fiction","English","Novel","18","12","ENG-G11","Survival and society.","B059"
"Fahrenheit 451","Ray Bradbury","9781451673319","Simon & Schuster","60th","2012","ENG","Dystopian","Novel – Fiction","English","Novel","17","11","ENG-G12","Censorship and books.","B060"
"The Wright Brothers","David McCullough","9781476786155","Simon & Schuster","1st","2015","HIS","Aviation History","Novel – Non-Fiction","English","Non-Fiction","12","7","HIS-D04","Biography of the Wright brothers.","B061"
"Quiet: The Power of Introverts","Susan Cain","9780307352156","Crown","1st","2012","ECO","Psychology","Novel – Non-Fiction","English","Non-Fiction","11","6","ECO-I07","Power of introversion.","B062"
"The Body Keeps the Score","Bessel van der Kolk","9780143127741","Penguin Books","1st","2014","ECO","Trauma","Novel – Non-Fiction","English","Non-Fiction","10","5","ECO-I08","Trauma and body.","B063"
"Reasoning Ability","Unknown","9789355012003","Arihant Publications","1st","2022","GEN","Reasoning","Competitive Exams","English","Reference","16","11","GEN-H06","Logical reasoning preparation.","B064"
"International Economics","Paul Krugman","9780134519571","Pearson","11th","2017","ECO","International Economics","Economics","English","Textbook","9","4","ECO-I05","Global trade and finance.","B065"
"Operations Management","William J. Stevenson","9780078024023","McGraw-Hill","12th","2017","MBA","Operations","Academic Textbook","English","Textbook","8","3","MBA-J05","Operations management.","B066"
"Analytical Chemistry","David Harvey","9780935702909","Freeman","1st","2000","CHE","Analytical Chemistry","Academic Textbook","English","Textbook","12","7","CHE-L04","Analytical techniques.","B067"
"Immunology","Janis Kuby","9781464180185","W.H. Freeman","8th","2015","BIO","Immunology","Academic Textbook","English","Textbook","11","6","BIO-M05","Immune system.","B068"
"Machine Design","Robert L. Norton","9780136123709","Pearson","5th","2013","ME","Machine Design","Engineering Reference","English","Textbook","10","5","ME-N04","Design of machines.","B069"
"Transportation Engineering","J. John","9789332518191","Pearson","1st","2014","CE","Transportation","Engineering Reference","English","Textbook","14","9","CE-O04","Transport systems.","B070"
"Control Systems","Norman S. Nise","9781119806321","Wiley","8th","2020","EEE","Control Systems","Engineering Reference","English","Textbook","13","8","EEE-P04","Control theory.","B071"
"Embedded Systems","Lyla B. Das","9788131761764","Pearson","2nd","2012","ECE","Embedded Systems","Engineering Reference","English","Textbook","12","7","ECE-Q04","Embedded system design.","B072"
"Beloved","Toni Morrison","9781400033416","Plume","1st","1987","ENG","Fiction","Novel – Fiction","English","Novel","15","10","ENG-G13","Pulitzer-winning novel on slavery.","B073"
"The Handmaid's Tale","Margaret Atwood","9780385490818","Anchor","1st","1998","ENG","Dystopian","Novel – Fiction","English","Novel","16","11","ENG-G14","Dystopian tale of oppression.","B074"
"One Hundred Years of Solitude","Gabriel García Márquez","9780060883287","Harper Perennial","1st","1970","ENG","Magical Realism","Novel – Fiction","English","Novel","17","12","ENG-G15","Multi-generational saga.","B075"
"The Silk Roads: A New History of the World","Peter Frankopan","9781101912017","Pantheon","1st","2015","HIS","World History","Novel – Non-Fiction","English","Non-Fiction","11","6","HIS-D05","History along silk roads.","B076"
"Thinking, Fast and Slow","Daniel Kahneman","9780374533557","Farrar, Straus and Giroux","1st","2011","ECO","Behavioral Economics","Novel – Non-Fiction","English","Non-Fiction","10","5","ECO-I09","Decision-making psychology.","B077"
"Atomic Habits","James Clear","9780735211292","Avery","1st","2018","ECO","Habits","Novel – Non-Fiction","English","Non-Fiction","12","7","ECO-I10","Building good habits.","B078"
"Non-Verbal Reasoning","Unknown","9789355012003","Arihant Publications","1st","2022","GEN","Non-Verbal","Competitive Exams","English","Reference","14","9","GEN-H07","Non-verbal reasoning.","B079"
"Development Economics","Debraj Ray","9780691017068","Princeton University Press","1st","1998","ECO","Development Economics","Economics","English","Textbook","9","4","ECO-I06","Economic development theories.","B080"
"Strategic Management","Michael E. Porter","9780029259210","Free Press","1st","1980","MBA","Strategy","Academic Textbook","English","Textbook","8","3","MBA-J06","Competitive strategy.","B081"
"Quantum Chemistry","Ira N. Levine","9780321804243","Pearson","7th","2014","CHE","Quantum Chemistry","Academic Textbook","English","Textbook","11","6","CHE-L05","Quantum principles in chemistry.","B082"
"Cell Biology","Gerald Karp","9781119481592","Wiley","9th","2020","BIO","Cell Biology","Academic Textbook","English","Textbook","10","5","BIO-M06","Cell structure and function.","B083"
"Vibrations and Waves","A.P. French","9780393099362","W.W. Norton","1st","1971","PHY","Vibrations","Academic Textbook","English","Textbook","12","7","PHY-E02","Wave mechanics.","B084"
"Linear Algebra","Gilbert Strang","9780980232714","Wellesley-Cambridge Press","4th","2009","MAT","Linear Algebra","Academic Textbook","English","Textbook","13","8","MAT-S01","Applied linear algebra.","B085"
"Calculus","James Stewart","9781285740621","Cengage Learning","8th","2015","MAT","Calculus","Academic Textbook","English","Textbook","14","9","MAT-S02","Single variable calculus.","B086"
"Modern World History","Norman Lowe","9781405896888","Pearson","3rd","2009","HIS","Modern History","History","English","Textbook","11","6","HIS-D06","20th century world history.","B087"
"Environmental Geography","Daniel B. Botkin","9780471483457","Wiley","2nd","2004","GEO","Environmental Geography","Geography","English","Textbook","10","5","GEO-F03","Human impact on environment.","B088"
"Literary Theory","Terry Eagleton","9780816654476","University of Minnesota Press","2nd","1996","ENG","Literary Theory","Academic Textbook","English","Textbook","9","4","ENG-T01","Introduction to literary theory.","B089"
"Discrete Mathematics","Kenneth H. Rosen","9780073383095","McGraw-Hill","7th","2011","MAT","Discrete Math","Academic Textbook","English","Textbook","12","7","MAT-S03","Discrete structures.","B090"
"Classical Mechanics","John R. Taylor","9781891389221","University Science Books","1st","2005","PHY","Mechanics","Academic Textbook","English","Textbook","11","6","PHY-E03","Classical mechanics.","B091"
"Organic Spectroscopy","William Kemp","9780333729915","Palgrave","3rd","1991","CHE","Spectroscopy","Academic Textbook","English","Textbook","10","5","CHE-L06","Instrumental methods.","B092"
"Microbial Genetics","Unknown","9780123846925","Academic Press","1st","2011","BIO","Microbial Genetics","Academic Textbook","English","Textbook","8","3","BIO-M07","Microbial genetics.","B093"
"Automobile Engineering","Kirpal Singh","9788180141479","Standard Publishers","11th","2007","ME","Automobile","Engineering Reference","English","Textbook","14","9","ME-N05","Automotive engineering.","B094"
"Surveying","B.C. Punmia","9789339218328","Laxmi Publications","17th","2016","CE","Surveying","Engineering Reference","English","Textbook","13","8","CE-O05","Surveying techniques.","B095"
"Digital Electronics","Tocci","9780132543034","Pearson","7th","2010","EEE","Digital Electronics","Engineering Reference","English","Textbook","12","7","EEE-P05","Digital logic.","B096"
"Communication Systems","Simon Haykin","9788126518489","Wiley","5th","2008","ECE","Communication","Engineering Reference","English","Textbook","11","6","ECE-Q05","Communication principles.","B097"
"The Kite Runner","Khaled Hosseini","9781594631931","Riverhead Books","1st","2003","ENG","Fiction","Novel – Fiction","English","Novel","16","11","ENG-G16","Story of friendship and redemption.","B098"
"Life of Pi","Yann Martel","9780156027328","Harcourt","1st","2002","ENG","Adventure","Novel – Fiction","English","Novel","15","10","ENG-G17","Survival at sea.","B099"
"The Name of the Rose","Umberto Eco","9780156001311","Harcourt","1st","1983","ENG","Mystery","Novel – Fiction","English","Novel","14","9","ENG-G18","Medieval mystery.","B100"
